,20200929,20201002,20201022,20201023,20201120,20201122,20201224,20201230,20210127,20210203,20210906
兵,,,1.0,,,,,1.0,,1.0,
典,1.0,,,,,,,,,,1.0
兼,,,,1.0,,,,,,,
内,4.0,4.0,2.0,2.0,,1.0,1.0,1.0,1.0,6.0,4.0
円,5.0,4.0,1.0,1.0,4.0,1.0,3.0,3.0,2.0,1.0,2.0
再,,3.0,,3.0,,1.0,2.0,,2.0,1.0,1.0
写,,,,1.0,,,,1.0,,,
冠,1.0,,,,,,,,,,
冷,,,,,,,,,,1.0,
凍,,,1.0,1.0,,,,,,,
処,,,,,,,,,,,1.0
出,1.0,2.0,2.0,2.0,4.0,7.0,3.0,1.0,1.0,,
刀,1.0,,,,,,,,,,
分,2.0,2.0,3.0,4.0,3.0,3.0,2.0,6.0,3.0,1.0,2.0
切,1.0,,1.0,,,,,,,,1.0
列,,,1.0,,,,,,,,
初,2.0,3.0,3.0,3.0,2.0,1.0,,1.0,1.0,1.0,1.0
判,1.0,,,,,1.0,2.0,,,2.0,
別,1.0,1.0,1.0,,3.0,1.0,1.0,1.0,3.0,,3.0
利,1.0,3.0,2.0,,2.0,1.0,,,,2.0,
到,1.0,,1.0,,1.0,,,,,,
制,1.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,,7.0
刷,1.0,1.0,,,,,,,,,
刺,,,,,,1.0,,,,,
刻,,,,,1.0,,,1.0,,,
則,,,1.0,,,,,,,,
削,,,,,2.0,,1.0,,1.0,,
前,2.0,1.0,1.0,1.0,,,2.0,2.0,,1.0,3.0
剤,,1.0,,,,,,,,,
副,,,,,1.0,,2.0,,,,1.0
割,,1.0,1.0,2.0,1.0,2.0,2.0,5.0,2.0,3.0,
創,,1.0,,,,,,,,1.0,1.0
劇,,,1.0,,,,,,,,1.0
力,2.0,3.0,3.0,,2.0,3.0,3.0,2.0,,4.0,2.0
功,,1.0,,,,,,1.0,,,
加,,1.0,,1.0,1.0,1.0,,1.0,,4.0,
劣,1.0,,,,,,,,,,
助,,,1.0,,,,,,,,
労,,,,,,,1.0,,,1.0,1.0
効,,,,,1.0,2.0,3.0,,,2.0,
動,1.0,4.0,2.0,3.0,2.0,6.0,3.0,2.0,4.0,2.0,6.0
務,,1.0,4.0,3.0,2.0,5.0,5.0,,,1.0,
勝,,1.0,2.0,1.0,2.0,2.0,1.0,,,,
募,,,1.0,,,,,,,,
勢,2.0,,,,1.0,1.0,,,1.0,,
勤,,,,,,1.0,1.0,,,1.0,
勧,,1.0,,,,,,,,,
包,,,,,,1.0,,,,,
化,6.0,6.0,4.0,2.0,3.0,7.0,2.0,2.0,1.0,4.0,4.0
北,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,4.0
区,,,,,,,,,2.0,,
医,,,,,2.0,,,,,,1.0
十,3.0,,,,1.0,,,,,,1.0
千,,1.0,,,,,,1.0,,,
午,1.0,,,,,,2.0,,,,
半,1.0,2.0,2.0,3.0,,1.0,,,,1.0,
卒,,,,,,,,1.0,,,
卓,,,,,1.0,1.0,,,,,
協,1.0,1.0,,,2.0,,3.0,1.0,2.0,,2.0
南,1.0,1.0,,,1.0,,1.0,,,,1.0
単,,2.0,,,,1.0,,,,,
博,,,,1.0,,,,,,,
占,,,,,,,1.0,,,,
印,,,,,,,,1.0,,,
危,,,1.0,,,1.0,1.0,,,,
却,,2.0,,1.0,,1.0,,,,1.0,
厚,,,,,,,1.0,,,,1.0
原,,1.0,4.0,1.0,,1.0,,,1.0,1.0,1.0
厭,,,,,,1.0,,,,,
厳,,,,1.0,,,,,,,
去,,1.0,1.0,,2.0,1.0,2.0,,,,1.0
参,,1.0,1.0,,1.0,,1.0,,,1.0,
及,,,1.0,,,,,,1.0,2.0,
友,,,,,1.0,,,,,1.0,
反,2.0,1.0,1.0,1.0,1.0,,,,,,
収,,,,,,1.0,3.0,1.0,1.0,,2.0
取,3.0,2.0,,1.0,,1.0,3.0,,,1.0,
受,,1.0,2.0,,,,1.0,1.0,,1.0,1.0
口,,,,1.0,1.0,,1.0,1.0,1.0,2.0,1.0
古,,,,1.0,,,,,,,2.0
可,1.0,,,2.0,1.0,3.0,1.0,,,1.0,1.0
台,,2.0,2.0,1.0,,,,,2.0,,4.0
史,,,,,,1.0,1.0,2.0,,1.0,
右,,,1.0,,,,,,,,
号,,,2.0,,,,,,,,
司,,,1.0,1.0,,,,,,,
各,1.0,,,1.0,,,,,1.0,,
合,1.0,2.0,1.0,1.0,,2.0,3.0,1.0,2.0,5.0,2.0
吉,,,,,1.0,,1.0,,,,
同,2.0,2.0,1.0,1.0,4.0,1.0,1.0,,,2.0,1.0
名,,2.0,,,1.0,1.0,,,,,2.0
向,1.0,,1.0,,1.0,1.0,,,,1.0,2.0
吹,,,,1.0,,,,,,,
呂,1.0,,,,,1.0,,,,,
呉,,,,,,,1.0,,,,
告,,1.0,,,,,1.0,,,1.0,
味,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,,
命,1.0,2.0,1.0,,,,,1.0,1.0,,
和,3.0,1.0,1.0,,1.0,1.0,,3.0,,,1.0
品,1.0,1.0,2.0,,1.0,,,,2.0,2.0,1.0
員,,3.0,2.0,1.0,,,,1.0,,1.0,1.0
哲,,,,,,,,,,,1.0
唯,,,,,,,,,,,1.0
商,,,,,,,,,1.0,3.0,2.0
問,,1.0,,3.0,,,2.0,2.0,1.0,,
善,,,,,1.0,2.0,1.0,,1.0,,
喫,,,,,,1.0,,,,,
営,5.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
噂,,,,,,,1.0,,,,
器,,,,,1.0,,,,,2.0,
四,,,,,,,,,2.0,,1.0
回,,,1.0,1.0,3.0,1.0,,4.0,1.0,2.0,3.0
因,,,1.0,,,1.0,,,,,
団,,,1.0,,,,,,2.0,,1.0
囲,,,1.0,,,,,,,,
図,,,,,,,,1.0,,,
国,5.0,6.0,5.0,10.0,10.0,8.0,4.0,4.0,8.0,11.0,9.0
圏,,1.0,2.0,1.0,1.0,,,,,,
園,,,,,,,,,,,1.0
土,,,,1.0,,1.0,,,,,
圧,,1.0,,,,,,,,2.0,1.0
在,,1.0,,,2.0,1.0,2.0,,,2.0,
地,3.0,1.0,2.0,3.0,3.0,9.0,4.0,7.0,5.0,4.0,1.0
坂,,1.0,,,1.0,,,,,,
均,1.0,,1.0,,,,1.0,1.0,,,2.0
型,4.0,1.0,3.0,2.0,1.0,1.0,,2.0,2.0,1.0,
城,1.0,,,,,,,,,1.0,
域,,,,,3.0,8.0,,,2.0,,
基,,1.0,,,,,1.0,,,1.0,
埼,,,,,,,,,,2.0,1.0
堂,,,,,1.0,,,1.0,,,1.0
報,,,,2.0,,,2.0,1.0,,,1.0
